"Scale", "Psychometrics", "Use"
Albarracin SAT, 0,DV
Alter Syllogysms, 0,DV
Cacioppo Argument Quality, 0,DV
Cacioppo Need Cognition, 1,IV
Carter Flag Priming, 0,DV
Caruso Currency Priming, 1,DV
Dijksterhuis Trivia, 0,DV
Finkel Exit Forgiveness, 0,DV
Finkel Impression Management, 1,Aux
Finkel Loyalty Forgiveness, 0,DV
Finkel Neglect Forgiveness, 0,DV
Finkel Self-Deception, 1,Aux
Finkel Subjective Commitment, 1,MC
Finkel Voice Forgiveness, 0,DV
Giessner Vertical Position, 0,DV
Graham Moral Foundations, 0,DV
Hart Criminal Intentionality, 0,DV
Hart Detailed Processing, 0,DV
Hart Intention Attribution, 0,DV
Husnu Imagined Contact, 0,DV
Inbar Disgust Sensitivity, 1,Aux
LoBue Thread Detection - REV, 0,DV
LoBue Thread Detection - RPP, 0,DV
Mazar HEXACO HH, 1,Fil
Mazar HEXACO EM, 1,Fil
Mazar HEXACO EX, 1,Fil
Mazar HEXACO AG, 1,Fil
Mazar HEXACO CO, 1,Fil
Mazar HEXACO OX, 1,Fil
Mazar Religious, 0,Aux
Nosek Explicit Art, 0,Aux
Nosek Explicit Math, 0,Aux
Shnabel Emotional Need Acceptance - Rev, 0,Aux
Shnabel Emotional Need Acceptance - RPP, 0,Aux
Shnabel Emotional Need Power - Rev, 0,Aux
Shnabel Emotional Need Power - RPP, 0,Aux
Shnabel Moral Image - Rev, 0,Aux
Shnabel Moral Image - RPP, 0,Aux
Shnabel Power Sense - Rev, 0,Aux
Shnabel Power Sense - RPP, 0,Aux
Shnabel Willingness Reconcile - Rev, 0,DV
Shnabel Willingness Reconcile - RPP, 0,DV
Srull Behaviour Hostility, 0,DV
Srull Ronald Hostility, 0,DV
Strack Facial Feedback, 0,DV
Tversky Directionality Similarity 1, 0,DV
Tversky Directionality Similarity 2, 0,DV
Zhong Desirability Cleaning, 0,DV
Zhong Desirability Other, 0,DV
